sentence_id,words,labels
2,reach,O
2,succeed,O
2,consumers,O
2,world,O
2,products,O
2,improve,O
2,lives,O
2,technology,O
2,innovation,O
2,build,O
2,advantage,O
2,company,O
2,inviting,O
2,apply,O
2,join,O
2,team,O
2,business,O
2,solution,O
2,manager,I-ROLE
2,description,O
2,solution,O
2,manager,O
2,leads,O
2,solution,O
2,development,I-SKILL
2,quality,B-ROLE
2,assurance,I-ROLE
2,release,O
2,management,O
2,operations,I-DEPT
2,application,O
2,meet,O
2,business,O
2,user,O
2,stakeholder,O
2,solution,O
2,requirements,O
2,solutions,O
2,manager,O
2,leverages,O
2,modern,O
2,application,B-ROLE
2,development,I-ROLE
2,framework,O
2,incl,O
2,design,I-SKILL
2,thinking,O
2,agile,I-SKILL
2,project,B-ROLE
2,management,I-ROLE
2,continuous,B-SKILL
2,integration,I-SKILL
2,continuous,O
2,deliver,O
2,ci,B-SKILL
2,cd,I-SKILL
2,methods,O
2,tools,O
2,build,O
2,solutions,O
2,solution,O
2,manager,O
2,good,O
2,understanding,O
2,business,B-ROLE
2,requirements,I-ROLE
2,may,O
2,consult,O
2,clients,O
2,specific,O
2,needs,O
2,prior,O
2,developing,I-SKILL
2,expected,O
2,continuously,O
2,assess,O
2,solutions,O
2,determine,O
2,effective,O
2,develop,O
2,new,O
2,strategies,O
2,improve,O
2,product,O
2,process,O
2,solutions,O
2,manager,O
2,also,O
2,continuously,O
2,upgrade,O
2,technical,O
2,skills,O
2,understand,O
2,influence,O
2,product,O
2,design,O
2,architecture,I-ROLE
2,well,O
2,supporting,O
2,infrastructure,I-DEPT
2,operations,O
2,processes,O
2,tools,O
2,solution,O
2,manager,O
2,would,O
2,leading,O
2,technologically,O
2,driven,O
2,solution,O
2,1,O
2,drive,O
2,digital,O
2,go,O
2,market,O
2,next,O
2,generation,O
2,sales,I-DEPT
2,erp,I-SKILL
2,2,O
2,enable,O
2,supply,B-DEPT
2,chain,I-DEPT
2,reinvention,O
2,3,O
2,drive,O
2,high,O
2,consumer,O
2,outreach,O
2,4,O
2,establish,O
2,operationalize,O
2,manufacturing,I-DEPT
2,operations,O
2,key,O
2,responsibilities,O
2,end,O
2,end,O
2,master,O
2,plan,O
2,portfolio,O
2,integrated,O
2,product,O
2,supply,O
2,site,O
2,master,O
2,plan,O
2,accountable,O
2,services,O
2,provides,O
2,site,O
2,value,O
2,sites,O
2,gets,O
2,solutions,O
2,services,O
2,drive,O
2,operational,O
2,excellence,O
2,always,O
2,ot,O
2,infrastructure,O
2,networking,I-SKILL
2,drive,O
2,digitization,O
2,strategy,O
2,site,O
2,systemic,O
2,remediation,O
2,profile,O
2,looking,O
2,minimum,O
2,requirements,O
2,1,O
2,bachelors,O
2,degree,O
2,higher,O
2,education,O
2,one,O
2,following,O
2,major,O
2,computer,O
2,engineering,O
2,information,B-DEPT
2,technology,I-DEPT
2,computer,O
2,system,O
2,engineering,O
2,computer,B-DEPT
2,science,I-DEPT
2,applied,O
2,mathematics,O
2,software,B-ROLE
2,engineering,I-ROLE
2,2,O
2,understanding,O
2,methodologies,O
2,fundamentals,O
2,services,O
2,preferred,O
2,requirements,O
2,1,O
2,proven,O
2,track,B-SKILL
2,record,I-SKILL
2,applying,O
2,data,O
2,driven,O
2,insights,O
2,tangible,O
2,impact,O
2,business,O
2,performance,I-SKILL
2,2,O
2,excellent,O
2,business,O
2,judgment,O
2,analytical,I-SKILL
2,skills,O
2,excellent,O
2,leadership,I-ROLE
2,influencing,O
2,communication,I-SKILL
2,written,B-SKILL
2,verbal,I-SKILL
2,skills,O
3,solutions,O
3,manager,I-ROLE
3,leads,O
3,product,O
3,roadmap,O
3,creates,O
3,requirement,O
3,pipeline,O
3,owns,O
3,solution,O
3,development,I-SKILL
3,quality,B-ROLE
3,assurance,I-ROLE
3,release,O
3,management,O
3,processes,O
3,solution,O
3,manager,O
3,drives,O
3,strategic,O
3,business,O
3,outcome,O
3,innovative,O
3,solution,O
3,leveraging,O
3,digital,O
3,capabilities,O
3,solution,O
3,manager,O
3,good,O
3,understanding,O
3,business,B-ROLE
3,requirements,I-ROLE
3,may,O
3,consult,O
3,clients,O
3,specific,O
3,needs,O
3,prior,O
3,developing,I-SKILL
3,solution,O
3,manager,O
3,expected,O
3,continuously,O
3,assess,O
3,solutions,O
3,determine,O
3,effective,O
3,develop,O
3,new,O
3,strategies,O
3,improve,O
3,product,O
3,process,O
3,solutions,O
3,manager,O
3,also,O
3,continuously,O
3,upgrade,O
3,technical,O
3,skills,O
3,understand,O
3,influence,O
3,product,O
3,design,I-SKILL
3,architecture,I-ROLE
3,well,O
3,supporting,O
3,infrastructure,I-DEPT
3,operations,I-DEPT
3,processes,O
3,tools,O
3,profile,O
3,requirements,O
3,skills,O
3,experiences,O
3,role,O
3,1,O
3,masters,O
3,degree,O
3,deep,O
3,understanding,O
3,information,O
3,management,O
3,systems,O
3,2,O
3,8,O
3,12,O
3,years,O
3,relevant,O
3,work,O
3,experience,O
3,handling,O
3,application,I-SKILL
3,system,O
3,policies,O
3,procedures,O
3,standards,O
3,process,O
3,methodologies,O
3,3,O
3,well,O
3,developed,O
3,interpersonal,B-SKILL
3,skills,I-SKILL
3,ability,B-SKILL
3,communicate,I-SKILL
3,effectively,O
3,senior,O
3,stakeholders,O
3,4,O
3,excellent,O
3,business,O
3,judgment,O
3,analytical,I-SKILL
3,skills,O
3,excellent,O
3,leadership,I-ROLE
3,influencing,O
3,communication,I-SKILL
3,written,B-SKILL
3,verbal,I-SKILL
3,skills,O
3,5,O
3,experience,O
3,agile,I-SKILL
3,methodology,O
3,must,O
3,ability,O
3,capture,O
3,functional,O
3,requirements,O
3,terms,O
3,user,O
3,stories,O
3,6,O
3,teamwork,O
3,self,O
3,driven,O
3,independent,O
3,work,O
3,pressure,O
3,whilst,O
3,handling,O
3,multiple,O
3,priorities,O
3,7,O
3,experience,O
3,trade,O
3,fund,O
3,management,O
3,fmcg,O
3,would,O
3,preferred,O
4,looking,O
4,someone,O
4,passionate,O
4,emerging,O
4,technologies,O
4,creating,O
4,virtualization,O
4,storage,O
4,solutions,O
4,architect,I-ROLE
4,build,O
4,advanced,O
4,solutions,O
4,within,O
4,practice,O
4,varied,O
4,customer,O
4,environments,O
4,required,O
4,work,O
4,smes,O
4,clients,O
4,presales,O
4,operations,I-DEPT
4,team,O
4,ensuring,O
4,delivers,O
4,innovative,O
4,solutions,O
4,practices,O
4,outstanding,O
4,implementation,O
4,clients,O
4,job,O
4,requirements,O
4,details,O
4,build,O
4,enhance,O
4,virtualization,O
4,solution,O
4,different,O
4,cloud,O
4,technology,O
4,establish,O
4,solution,O
4,sizing,O
4,implementation,O
4,lab,O
4,ongoing,O
4,support,I-SKILL
4,model,O
4,detail,O
4,project,O
4,plan,O
4,supporting,O
4,pre,O
4,sales,I-DEPT
4,teams,O
4,pre,O
4,sales,O
4,proposal,O
4,building,O
4,core,O
4,solution,O
4,architecture,I-ROLE
4,solution,O
4,sizing,O
4,efforts,O
4,supporting,O
4,various,O
4,implementation,O
4,activities,O
4,working,O
4,operations,O
4,team,O
4,streamline,O
4,delivery,O
4,mentoring,O
4,l2,O
4,l3,O
4,team,O
4,noc,O
4,help,O
4,improve,O
4,skills,O
4,working,O
4,technology,O
4,practice,O
4,leads,O
4,integrate,O
4,collaboration,O
4,portfolios,O
4,end,O
4,end,O
4,solutions,O
4,worked,O
4,similar,O
4,role,O
4,experience,O
4,scaling,O
4,business,O
4,higher,O
4,profit,O
4,levels,O
4,penetration,O
4,newer,O
4,markets,O
4,web,O
4,environment,O
4,including,O
4,web,O
4,hosting,O
4,security,O
4,information,O
4,protection,O
4,load,O
4,balancing,O
4,implementations,O
4,high,O
4,availability,O
4,networks,O
4,heavy,O
4,experience,O
4,server,O
4,engineering,O
4,administration,I-ROLE
4,build,O
4,maintain,O
4,support,O
4,server,O
4,hardware,I-DEPT
4,operating,B-SKILL
4,systems,I-SKILL
4,experience,O
4,server,O
4,os,O
4,migration,O
4,must,O
4,proficient,O
4,experience,O
4,automation,I-SKILL
4,scripting,I-SKILL
4,languages,O
4,tools,O
4,working,O
4,experience,O
4,large,O
4,complex,O
4,datacenter,O
4,environments,O
4,working,O
4,san,O
4,storage,O
4,administration,O
4,responsible,O
4,architecture,B-SKILL
4,design,I-SKILL
4,maintenance,I-DEPT
4,next,O
4,generation,O
4,distributed,O
4,storage,O
4,including,O
4,afa,O
4,flash,O
4,array,O
4,file,O
4,storage,O
4,object,O
4,storage,O
4,block,O
4,storage,O
4,responsible,O
4,technology,O
4,strategy,O
4,engineering,O
4,standards,O
4,methodologies,O
4,task,O
4,plans,O
4,best,O
4,practices,O
4,multiple,O
4,virtualization,O
4,solutions,O
4,experience,O
4,managing,O
4,diverse,O
4,storage,O
4,strong,O
4,understanding,O
4,datacenter,O
4,consolidations,O
4,including,O
4,iaas,O
4,paas,O
4,capacity,O
4,planning,O
4,virtualization,O
4,best,O
4,practices,O
4,cloud,B-DEPT
4,technologies,I-DEPT
4,preferred,O
4,aws,I-SKILL
4,azure,I-SKILL
4,knowledge,O
4,kick,O
4,start,O
4,jump,O
4,start,O
4,commvault,O
4,netbackup,O
4,emc,O
4,backup,O
4,technologies,O
4,past,O
4,hands,O
4,experience,O
4,full,O
4,site,O
4,deployments,O
4,planning,O
4,design,O
4,stages,O
4,full,O
4,implementation,O
4,knowledge,O
4,oracle,O
4,sql,B-SKILL
4,server,I-SKILL
4,database,I-SKILL
4,clustering,O
4,technologies,O
4,plus,O
4,experience,O
4,implementing,O
4,systems,O
4,processes,O
4,track,O
4,baseline,O
4,operational,O
4,procedures,O
4,advising,O
4,direction,O
4,reduce,O
4,baseline,O
4,operational,O
4,costs,O
4,maintaining,O
4,quality,O
4,service,O
4,experience,O
4,working,O
4,facilities,O
4,management,O
4,closely,O
4,monitor,O
4,critical,O
4,facilities,O
4,upon,O
4,computer,O
4,systems,O
4,dependent,O
4,purpose,O
4,coordinated,O
4,management,O
4,infrastructure,I-DEPT
4,early,O
4,recognition,O
4,capacity,O
4,trends,O
4,joint,O
4,planning,O
4,budgeting,I-SKILL
4,growth,O
4,initiatives,O
4,excellent,O
4,management,B-SKILL
4,skills,I-SKILL
4,depth,O
4,knowledge,O
4,company,O
4,product,O
4,hosting,O
4,objectives,O
4,skills,O
4,required,O
4,strong,O
4,ability,O
4,cultivate,O
4,relationships,O
4,customers,I-DEPT
4,team,O
4,members,O
4,partners,O
4,excellent,B-SKILL
4,written,I-SKILL
4,document,O
4,presentation,O
4,verbal,B-SKILL
4,communication,I-SKILL
4,skills,O
4,ability,O
4,articulate,O
4,technical,O
4,abstract,O
4,concepts,O
4,clear,O
4,concise,O
4,manner,O
4,specific,O
4,knowledge,O
4,large,O
4,scale,O
4,azure,O
4,aws,O
4,google,O
4,cloud,O
4,implementations,O
4,knowledge,O
4,experience,O
4,private,O
4,cloud,O
4,help,O
4,develop,O
4,enhance,O
4,capability,O
4,understanding,O
4,debug,O
4,tools,O
4,online,O
4,debugging,I-SKILL
4,understand,O
4,read,O
4,network,O
4,dumps,O
4,understand,O
4,read,O
4,core,O
4,files,O
4,understand,O
4,determine,O
4,driver,O
4,configuration,O
4,within,O
4,hardware,O
4,virtual,O
4,layer,O
4,operating,O
4,system,O
4,understand,O
4,debug,O
4,scripts,O
4,determine,O
4,bottlenecks,O
4,current,O
4,hardware,O
4,virtual,O
4,layers,O
4,operating,O
4,system,O
4,qualification,O
4,experience,O
4,12,O
4,years,O
4,total,O
4,experience,O
4,including,O
4,6,O
4,years,O
4,production,I-ROLE
4,24,O
4,7,O
4,high,O
4,consumer,O
4,traffic,O
4,strong,B-SKILL
4,analytical,I-SKILL
4,technical,O
4,interpersonal,B-SKILL
4,skills,I-SKILL
4,essential,O
4,certification,O
4,server,O
4,cloud,O
4,storage,O
4,desirable,O
5,reporting,O
5,director,I-ROLE
5,security,O
5,associate,O
5,director,O
5,information,B-DEPT
5,technology,I-DEPT
5,responsible,O
5,leading,O
5,streamline,O
5,u2019s,O
5,offshore,O
5,information,O
5,technology,O
5,department,O
5,implementing,O
5,strategic,O
5,tactical,O
5,initiatives,O
5,coordination,O
5,director,O
5,security,O
5,ensuring,O
5,security,O
5,policies,O
5,current,O
5,followed,O
5,department,O
5,responsible,O
5,24,O
5,7,O
5,operations,I-DEPT
5,streamline,O
5,hosted,O
5,customers,I-DEPT
5,ms,O
5,azure,I-SKILL
5,support,I-SKILL
5,selfhosted,O
5,customers,O
5,infrastructure,I-DEPT
5,services,O
5,streamline,O
5,staff,O
5,contractors,O
5,job,O
5,responsibilities,O
5,coordinate,O
5,director,O
5,security,O
5,provide,O
5,leadership,I-ROLE
5,vision,O
5,management,O
5,offshore,O
5,department,O
5,analyze,O
5,business,B-ROLE
5,requirements,I-ROLE
5,design,I-SKILL
5,implement,O
5,strategies,O
5,infrastructure,O
5,alignment,O
5,organization,O
5,standards,O
5,oversee,O
5,operation,O
5,server,O
5,systems,O
5,deployed,O
5,offshore,O
5,office,O
5,communicate,O
5,within,O
5,offshore,O
5,team,O
5,across,O
5,departments,O
5,needed,O
5,assess,O
5,need,O
5,new,O
5,equipment,O
5,software,I-DEPT
5,offshore,O
5,office,O
5,ensure,O
5,maintenance,I-DEPT
5,existing,O
5,infrastructure,O
5,offshore,O
5,office,O
5,build,O
5,maintain,O
5,relationships,O
5,outside,O
5,vendors,O
5,ensure,O
5,reported,O
5,issues,O
5,offshore,O
5,teams,O
5,getting,O
5,resolved,O
5,timely,O
5,manner,O
5,lead,I-ROLE
5,offshore,O
5,deployment,I-SKILL
5,team,O
5,deploy,O
5,designated,O
5,customer,O
5,environments,O
5,using,O
5,azure,O
5,devops,I-SKILL
5,related,O
5,azure,O
5,tools,O
5,ensure,O
5,sla,O
5,designated,O
5,streamline,O
5,hosted,O
5,customers,O
5,develop,O
5,review,O
5,budgets,O
5,forecasts,O
5,department,O
5,ensure,O
5,align,O
5,goals,O
5,business,O
5,develop,O
5,department,O
5,standards,O
5,policies,O
5,procedures,O
5,well,O
5,determining,O
5,level,O
5,effort,O
5,prioritization,O
5,department,O
5,appropriately,O
5,align,O
5,goals,O
5,company,O
5,maintain,O
5,increase,O
5,efficiency,O
5,operations,O
5,reduction,O
5,outages,O
5,implementation,O
5,effective,O
5,controls,O
5,timely,O
5,resolution,O
5,outstanding,O
5,technology,O
5,issues,O
5,act,O
5,project,O
5,manager,I-ROLE
5,enterprisewide,O
5,technology,O
5,security,O
5,projects,O
5,plan,O
5,analysis,O
5,evaluation,O
5,testing,I-SKILL
5,implementation,O
5,integration,O
5,migration,O
5,strategy,O
5,deployment,O
5,define,O
5,implement,O
5,complicated,O
5,technical,O
5,solutions,O
5,satisfy,O
5,business,O
5,requirements,O
5,line,O
5,corporate,O
5,project,O
5,budgetary,O
5,objectives,O
5,execute,O
5,streamlines,O
5,information,B-DEPT
5,security,I-DEPT
5,vision,O
5,strategy,O
5,tactical,O
5,roadmap,O
5,aligned,O
5,information,O
5,security,O
5,best,O
5,practices,O
5,common,O
5,data,O
5,security,O
5,controls,O
5,frameworks,O
5,fisma,O
5,hipaa,O
5,nist,O
5,800,O
5,53,O
5,implement,O
5,information,O
5,security,O
5,policies,O
5,procedures,O
5,architecture,I-ROLE
5,aimed,O
5,preventing,O
5,cyber,O
5,intrusions,O
5,attacks,O
5,protecting,O
5,sensitive,O
5,ephi,O
5,responding,O
5,security,O
5,incidents,O
5,affecting,O
5,enterprise,O
5,information,O
5,assets,O
5,ensure,O
5,key,O
5,performance,I-SKILL
5,indicators,O
5,kpis,I-SKILL
5,met,O
5,threats,O
5,vulnerabilities,O
5,mitigated,O
5,includes,O
5,security,O
5,incident,O
5,event,O
5,management,O
5,well,O
5,daily,O
5,threat,O
5,analysis,O
5,assess,O
5,resolve,O
5,technical,O
5,problems,O
5,may,O
5,involve,O
5,complex,O
5,integration,O
5,technologies,O
5,across,O
5,multiple,O
5,software,O
5,hardware,I-DEPT
5,platforms,O
5,educate,O
5,promote,O
5,influence,O
5,advanced,O
5,technology,O
5,solutions,O
5,best,O
5,practices,O
5,departments,O
5,company,O
5,leaders,O
5,staff,O
5,update,O
5,maintain,O
5,disaster,O
5,recovery,O
5,business,O
5,continuity,O
5,plans,O
5,complete,O
5,special,O
5,projects,O
5,assignments,O
5,necessary,O
6,seeking,O
6,director,I-ROLE
6,position,O
6,school,O
6,computing,O
6,information,B-DEPT
6,technology,I-DEPT
6,exposure,O
6,academic,O
6,administrative,I-ROLE
6,experience,O
6,active,O
6,oriented,O
6,mindset,O
6,focus,O
6,exceeding,O
6,expectations,O
6,operates,O
6,vision,O
6,integrity,O
6,successful,O
6,director,O
6,engineering,O
6,exceptional,O
6,leadership,I-ROLE
6,communication,I-SKILL
6,people,O
6,management,B-SKILL
6,skills,I-SKILL
6,years,O
6,administrative,O
6,experience,O
6,belief,O
6,developing,I-SKILL
6,skills,O
6,talents,O
6,others,O
6,responsibilities,O
6,provide,O
6,academic,O
6,administrative,O
6,leadership,O
6,proper,O
6,organization,O
6,teaching,O
6,training,O
6,research,O
6,extension,O
6,activities,O
6,implement,O
6,policies,O
6,decisions,O
6,university,O
6,pertaining,O
6,school,O
6,consultation,O
6,school,O
6,board,O
6,convene,O
6,meeting,O
6,school,O
6,board,O
6,record,O
6,proceedings,O
6,implement,O
6,decisions,O
6,seeking,O
6,approval,O
6,university,O
6,providing,O
6,technical,O
6,guidance,O
6,engineering,O
6,teams,O
6,top,O
6,management,O
6,supporting,O
6,established,O
6,organizational,O
6,objectives,O
6,developing,O
6,goals,O
6,strategies,O
6,presenting,O
6,budgets,O
6,plans,O
6,school,O
6,maintaining,O
6,good,O
6,relationships,O
6,internal,O
6,external,O
6,stakeholders,O
6,implementing,O
6,best,O
6,practice,O
6,development,I-SKILL
6,school,O
6,university,O
6,finding,O
6,implementing,O
6,ways,O
6,improve,O
6,cost,O
6,efficiency,O
6,ensures,O
6,required,O
6,number,O
6,approved,O
6,seats,O
6,filled,O
6,yearly,O
6,basis,O
6,attracts,O
6,retains,O
6,high,O
6,quality,O
6,faculty,O
6,maintain,O
6,competitive,O
6,advantage,O
6,university,O
6,conducts,O
6,regular,O
6,fdp,O
6,mdp,O
6,faculty,O
6,senior,O
6,members,O
6,staff,O
6,fosters,O
6,innovative,O
6,pedagogy,O
6,school,O
6,generates,O
6,revenue,O
6,funding,O
6,collaborative,O
6,projects,O
6,setting,O
6,academic,O
6,corporate,O
6,goals,O
6,objectives,O
6,school,O
6,required,O
6,academician,O
7,profile,O
7,bachelor,O
7,degree,O
7,combination,O
7,relevant,O
7,education,O
7,experience,O
7,experience,O
7,regulatory,O
7,compliance,I-ROLE
7,risk,O
7,management,O
7,includes,O
7,operational,O
7,risk,O
7,audit,I-DEPT
7,legal,O
7,systems,O
7,security,O
7,business,B-ROLE
7,process,I-ROLE
7,management,O
7,knowledge,O
7,experience,O
7,various,O
7,industry,O
7,standards,O
7,regulations,O
7,best,O
7,practices,O
7,iso27001,O
7,cobit,O
7,privacy,O
7,regulations,O
7,gpdr,O
7,pci,O
7,dss,O
7,etc,O
7,solid,O
7,understanding,O
7,control,O
7,frameworks,O
7,general,O
7,computer,O
7,application,I-SKILL
7,control,O
7,audit,O
7,background,O
7,working,O
7,knowledge,O
7,overall,O
7,risk,O
7,management,O
7,process,O
7,conducting,O
7,participating,O
7,internal,O
7,external,O
7,risk,O
7,assessments,O
7,remediation,O
7,process,O
7,must,O
7,experience,O
7,conducting,O
7,risk,O
7,compliance,O
7,audit,O
7,programs,O
7,experience,O
7,across,O
7,multiple,O
7,information,B-DEPT
7,security,I-DEPT
7,domain,I-SKILL
7,e,O
7,regulatory,O
7,policy,O
7,compliance,O
7,governance,O
7,risk,O
7,management,O
7,infrastructure,I-DEPT
7,security,O
7,software,B-SKILL
7,development,I-SKILL
7,methodologies,O
7,cloud,B-DEPT
7,technologies,I-DEPT
7,good,O
7,technical,O
7,awareness,O
7,information,O
7,security,O
7,network,O
7,infrastructure,O
7,components,O
7,technology,O
7,control,O
7,risk,O
7,mitigation,O
7,along,O
7,appropriate,O
7,control,O
7,testing,I-SKILL
7,monitoring,I-ROLE
7,activities,O
7,associated,O
7,reporting,O
7,self,O
7,motivated,O
7,able,O
7,work,B-ROLE
7,independently,I-ROLE
7,perform,O
7,multiple,O
7,tasks,O
7,minimal,O
7,supervision,O
7,excellent,B-SKILL
7,communication,I-SKILL
7,documentation,I-SKILL
7,organization,O
7,skills,O
7,team,O
7,player,O
7,ability,O
7,work,O
7,within,O
7,collaborative,O
7,environment,O
7,excellent,O
7,interpersonal,O
7,facilitation,O
7,skills,O
7,expert,O
7,multiple,O
7,team,O
7,coordination,O
7,must,O
7,comfortable,O
7,operating,O
7,rapidly,O
7,changing,O
7,environments,O
7,responsibilities,O
7,spoc,O
7,external,O
7,internal,O
7,audits,O
7,due,O
7,diligence,O
7,software,O
7,cloud,O
7,conduct,O
7,risk,O
7,compliance,O
7,audit,O
7,programs,O
7,corresponding,O
7,iso,O
7,271001,O
7,9001,O
7,itgc,O
7,maintain,O
7,records,O
7,data,O
7,bank,O
7,due,O
7,diligence,O
7,questionnaire,O
7,audits,O
7,conduct,O
7,awareness,O
7,session,O
7,data,O
7,privacy,O
7,iso,O
7,27001,O
7,internally,O
7,ensure,O
7,team,O
7,follows,O
7,laid,O
7,processes,O
7,technology,O
7,risk,O
7,management,O
7,mitigate,O
7,risks,O
7,issues,O
7,corresponding,O
7,software,O
7,cloud,O
7,infra,O
8,people,O
8,ensuring,O
8,rotating,O
8,call,O
8,support,I-SKILL
8,24,O
8,x7,O
8,coverage,O
8,production,I-ROLE
8,infrastructure,I-DEPT
8,applications,I-SKILL
8,managing,O
8,team,O
8,tasked,O
8,implementation,O
8,operations,I-DEPT
8,storage,O
8,datacenter,O
8,infrastructure,O
8,datacenter,O
8,administration,I-ROLE
8,servers,O
8,operations,O
8,support,O
8,applications,O
8,business,B-ROLE
8,processes,I-ROLE
8,required,O
8,collaborating,O
8,product,B-SKILL
8,engineering,I-SKILL
8,teams,O
8,collaborating,O
8,project,O
8,build,O
8,teams,O
8,collaborating,O
8,sdms,O
8,client,O
8,concerns,O
8,active,O
8,participant,O
8,setting,O
8,direction,O
8,strategy,O
8,team,O
8,products,B-DEPT
8,services,I-DEPT
8,active,O
8,mentor,O
8,developing,I-SKILL
8,educating,O
8,team,O
8,members,O
8,participant,O
8,setting,O
8,direction,O
8,goals,O
8,individual,O
8,level,O
8,ability,B-SKILL
8,manage,I-SKILL
8,team,O
8,members,O
8,via,O
8,performance,I-SKILL
8,reviews,O
8,appraisals,O
8,ongoing,O
8,one,O
8,one,O
8,session,O
8,working,O
8,ensonos,O
8,clients,O
8,understand,O
8,business,O
8,collaborate,O
8,ensonos,O
8,storage,O
8,services,O
8,team,O
8,best,O
8,align,O
8,ensure,O
8,processes,O
8,strategies,O
8,technologies,O
8,meeting,O
8,demands,O
8,expectations,O
8,process,O
8,creating,O
8,managing,O
8,reporting,O
8,kpis,I-SKILL
8,platforms,O
8,operation,O
8,overseeing,O
8,environment,O
8,change,B-ROLE
8,management,I-ROLE
8,deployment,I-SKILL
8,activities,O
8,consistently,O
8,improving,O
8,performance,O
8,reliability,O
8,platform,O
8,scales,O
8,driving,O
8,continuous,B-SKILL
8,improvement,I-SKILL
8,operational,O
8,metrics,O
